realm,process,prosub,sub,V,english_words,dutch_words
Doing,Material,Material,Dispositive,borrow,borrowals | borrowed | borrowful | borrowal | borrower | borrowability | borrowable | borrows | borrowes | borrowing | borrowe,leningen | geleend | geleend | geleend | Tegenpartij | leenbaarheid | te lenen | leningen | leningen | Opgenomen leningen | lenen
Doing,Material,Material,Dispositive,brought,broughted | broughts | broughte,gebracht | gebracht | gebracht
Doing,Material,Material,Dispositive,bring,bringes | bringing | brings | bringeing | bringe | bringed,brengt | brengen | brengt | brengen | brengen | gebracht
Doing,Material,Material,Dispositive,can,cansing | canse | cansed | cansful,bliksem | blik | bliksem | blikvormig
Doing,Material,Material,Dispositive,carri,carris | carrying | carried | carryed | carriing | carryings | carry | carrie | carrieing,carris | vervoer | vervoerd | vervoerd | Carrieren | transporten | dragen | Carrie | Carrie
Doing,Material,Material,Dispositive,caught,caughte | caughtness | caughted | caughts,gevangen | gevangenheid | gevangen | gevangen
Doing,Material,Material,Dispositive,certifi,certifier | certified | certifyed | certifieing | certifiers | certifiant | certifient | certifies | certifieate | certifiably | certifiate | certifie | certify | certifying | certifiable | certifiability | certifieates | certifiates | certifiicate,certifier | gecertificeerd | gecertificeerd | certificering | Certificaten | certifiant | Certificaat | Certificaten | Certificaat | gecertificeerd | Certificaat | certificaat | Certificatie | certificering | certificeerbaar | certificeerbaarheid | Certificaten | Certificaten | certificat
Doing,Material,Material,Dispositive,cooper,cooperability | cooperately | cooperate | cooperant | cooperational | cooperativities | cooperation | cooperatively | cooperator | cooperants | cooperativity | cooperative | cooperating | coopering | cooperates | cooperated | coopered | cooperent | coopere | cooperism | cooperer | cooperativeness,Samenwerking | samenwerken | samenwerken | Cooperant | samenwerking | Samenwerking | samenwerking | coöperatief | medewerkster | Koppelaars | Samenwerking | coöperatief | samenwerkend | Samenwerking | werkt samen | medewerking | gecoöpteerd | Cooperent | Coopere | Samenwerking | Cooperer | samenwerking
Doing,Material,Material,Dispositive,collect,collectioning | collective | collected | collectivity | collectibility | collectting | collection | collectiveness | collectiviti | collectivities | collectes | collecter | collectible | collecters | collectent | collectization | collectic | collectant | collectted | collectation | collectability | collectively | collecte | collectional | collectable | collectivitis | collecting,collecting | collectief | verzameld | collectiviteit | collectibility | verzamelen | collectie | collectiefheid | collectiviti | collectiviteiten | collectes | collecter | collectible | verzamelaars | collectent | collectisatie | collectisch | collectant | verzameld | collectatie | inzamelbaarheid | collectief | verzamelen | collectie | verzamelbaar | collectivitis | verzamelen
Doing,Material,Material,Dispositive,complet,completed | completeable | completing | completism | completou | completent | completability | complets | completeing | completant | completers | completement | complete | completate | completation | completness | completable | completer | completely | completion | completeness | completives | completively | completive | completes | completiveness,voltooid | vervolledigbaar | voltooien | completism | completou | compleet | vervolledigbaarheid | complets | voltooiing | completant | completers | Voltooiing | voltooid | completeren | completatie | completness | vervolledigbaar | completer | volledig | voltooiing | volledigheid | samenvoegmiddelen | samen | completief | Voltooid | samensmelting
Doing,Material,Material,Dispositive,connect,connectability | connecteds | connectively | connection | connectiveness | connectness | connectible | connectances | connectable | connectance | connective | connecte | connectibility | connecter | connectant | connectings | connectionally | connectional | connectted | connects | connectivity | connectent | connecting | connected | connectic | connectes | connectting,verbindbaarheid | verbonden | onderling verbonden | verbinding | bindweefsel | verbondenheid | connectible | verbindingen | aansluitbaar | Verbinding | Botten | verbinden | verbindbaarheid | connecter | verbinding | verbindingen | connectief | verbinding | verbonden | verbindt | connectiviteit | connectent | verbinden | verbonden | connectie | verbindt | verbinden
Doing,Material,Material,Dispositive,constitut,constitutic | constitutively | constitutive | constitutional | constitutiveness | constitute | constitutents | constitution | constitutives | constituted | constitutioning | constitutency | constituteing | constituting | constitutioned | constitutencies | constituters | constitutes | constituter | constitutionally | constituts | constitutable | constitutivity | constitutent | constitutings,Constituerend | Constituerend | Constituerend | Grondwettelijk | Consolidatie | vormen | formonts | grondwet | Samenstelling | samengesteld | Oprichting | formantie | vorming | waarbij | geconstitueerd | formencies | formatoren | vormt | former | Grondwettelijk | Constituenten | Samenstellingstabel | Constitutie | formnt | forms
Doing,Material,Material,Dispositive,convert,convertiti | converted | convertions | convertible | convertional | convertability | convertants | convertable | convertation | convertibility | convertion | convertent | converting | convertes | convertant | convertive | convertibly | converter | convertings | converte,omkeer | omgezet | bekeerlingen | convertible | conversie | omrekenbaarheid | convertanten | omrekenbaar | conversie | convertibility | convertie | convertent | converteren | converteert | convertant | convertief | convertibly | converter | conversies | converteren
Doing,Material,Material,Dispositive,convert into,N/A,N/A
Doing,Material,Material,Dispositive,contain,containes | containings | containability | containant | containants | contained | containe | containered | containement | containerful | containment | containing | contains | container | containable | containning | containeing,bevat | bevattende | contamineerbaarheid | containant | contaminanten | bevat | bevatten | verpakt | containement | container vol | insluiting | bevattende | bevat | container | omkeerbaar | containning | bevatten
Doing,Material,Material,Dispositive,contract,contracte | contraction | contracted | contracters | contractancy | contractional | contractivity | contractes | contractable | contractent | contracter | contractively | contractant | contractible | contractibility | contractal | contractive | contractability | contracting | contractiveness | contractants | contractation | contractives,contracte | samentrekking | contractant | contractants | contractantschap | contractusaal | contractiviteit | contracten | contracteerbaar | contractant | contractant | contractief | contractant | contracteerbaar | contractibility | contractueel | contractief | contracteerbaarheid | contracteren | contractiviteit | contractant | contractatie | contractanten
Doing,Material,Material,Dispositive,contribut,contributic | contributers | contributes | contributed | contributiveness | contributation | contributing | contributer | contribute | contributable | contributively | contributeing | contributional | contributants | contributs | contributive | contribution | contributant | contributives,Bijdragers | bijdragenden | bijdragen | bijgedragen | Bijdragend vermogen | Bijdragen | bijdragen | bijdrager | bijdragen | Bij dragetabel | Bijdragen | bijdragen | bijdrage | Medewerkers | Bijdragen | Bijdragend | bijdrage | Contributant | Bijdragen
Doing,Material,Material,Dispositive,cost,costful | costes | costing | coste | costed | costely,kostenvol | kosten | kosten | kosten | kosten | kostely
Doing,Material,Material,Dispositive,crowd,crowde | crowded | crowding | crowdness | crowdes,drukte | overvol | drukte | drukte | drukte
Doing,Material,Material,Dispositive,delay,delayered | delayering | delayance | delayer | delaying | delayable | delayed | delayings | delayment | delayant | delayal | delaye | delayes,vertraagd | vertraging | vertraging | delayer | uitstel | uitstelbaar | vertraagd | uitstel | vertraging | delayant | uitstel | vertraging | vertragingen
Doing,Material,Material,Dispositive,depend,dependeant | depended | dependables | dependency | dependably | dependableness | dependancies | dependenci | depending | depends | dependently | dependancy | dependible | dependent | dependers | dependeing | dependant | dependings | dependance | dependibility | dependes | dependence | dependability | dependable | depende | depender,afhankelijk | afhankelijk | betrouwbaar | afhankelijkheid | betrouwbaar | betrouwbaarheid | afhankelijkheden | afhankelijk | afhankelijk | hangt ervan af | afhankelijk | afhankelijkheid | afhankelijk | afhankelijk | afhankelijken | afhankelijk | afhankelijk | afhankelijk | afhankelijkheid | afhankelijkheid | afhankelijk | afhankelijkheid | betrouwbaarheid | betrouwbaar | afhankelijk | afhankelijk
Doing,Material,Material,Dispositive,depend on,N/A,N/A
Doing,Material,Material,Dispositive,deterior,deteriorate | deteriorative | deteriorator | deteriorent | deteriores | deteriorates | deteriorants | deteriorated | deterioration | deteriore | deteriorer | deteriorization | deteriorant | deteriorators | deteriorating,verslechteren | deterieur | deteriorator | deteriorent | deteriores | verslechteringen | deteriorantia | verslechterd | verslechtering | deteriore | deteriorer | deteriorisatie | deteriorant | deterioratoren | verslechterend
Doing,Material,Material,Dispositive,distribut,distributation | distribute | distributionally | distributables | distributional | distributability | distributed | distributism | distributs | distributive | distributing | distributted | distributer | distributively | distributative | distributes | distributable | distributeing | distributives | distributiveness | distributic | distributivity | distribution,Distributie | verspreiden | distributie | Verdeelbare produkten | distributie | verdeelbaarheid | gedistribueerd | distributisme | distributs | Handel | distributie | gedistribueerd | distributie | Verdeeld | distribuerend | distribueert | verdeelbaar | distributie | Handel | Verdeelbaarheid | distributisch | distribuiviteit | distributie
Doing,Material,Material,Dispositive,disappear,disappearred | disappeareds | disappearence | disappearing | disappeare | disappearer | disappears | disappeares | disappearance | disappeareance | disappearers | disappearences | disappeared,verdwijnen | verdwenen | verdwijnen | verdwijnen | verdwijnen | verdwijnaar | verdwijnt | verdwijnt | verdwijning | verdwijnen | verdrijvers | verdwijnen | verdwenen
Doing,Material,Material,Dispositive,divorc,divorcing | divorcer | divorcible | divorcers | divorceable | divorcive | divorcings | divorced | divorcement | divorce,scheiding | echtscheiding | scheidbaar | echtscheidingen | scheidbaar | scheiding | Scheidingen | gescheiden | echtscheiding | echtscheiding
Doing,Material,Material,Dispositive,embodi,embody | embodient | embodied | embodiment | embodyings | embodiement | embodying | embodier | embodys | embodiable | embodyed | embodies | embodiers | embodie,belichamen | embodient | belichaamd | belichaming | belichamingen | belichaming | belichamen | embodyer | belichaamt | belichambaar | belichaamd | embodies | embodyers | embodie
Doing,Material,Material,Dispositive,equip,equipant | equipent | equipements | equiping | equipped | equipes | equipment | equipping | equipement | equipeent | equiped | equipal | equipe | equips | equiper,equipant | equipent | uitrustingen | uitrusten | uitgerust | uitrustingen | apparatuur | Uitrusting | uitrusting | equipeent | uitgerust | equipal | equipe | uitrustingsstukken | equiper
Doing,Material,Material,Dispositive,exchang,exchange,uitwisseling
Doing,Material,Material,Dispositive,fail,failing | faileings | fails | faile | faileing | failes | failed,falen | faalt | mislukt | faile | falen | faalt | mislukt
Doing,Material,Material,Dispositive,fine,finely | finees | finee | fined | fineness | fineing,fijn | boetes | boete | beboet | fijnheid | finering
Doing,Material,Material,Dispositive,follow,followed | followwing | followable | followered | followe | followeing | followability | follower | follows | followes | following,gevolgd | followwing | followable | volgelingen | volge | volgende | followability | volger | volgt | volgelingen | volgend
Doing,Material,Material,Dispositive,follow are,N/A,N/A
Doing,Material,Material,Dispositive,form,forme | formeing | formfulness | formativeness | formed | formatively | formings | forming | formes | formativity | formness | formative | formful | formely,forme | formeing | vormvastheid | formativiteit | gevormd | formatteren | vormen | vorming | formes | Formativiteit | vormigheid | Formatief | vormvol | formely
Doing,Material,Material,Dispositive,fuel,fuele | fueled | fueling,brandstof | brandstof | brandstof
Doing,Material,Material,Dispositive,fund,funded | fundes | funde | funding,gefinancierd | fondsen | fonds | financiering
Doing,Material,Material,Dispositive,gather,gathere | gatheres | gatherering | gatherered | gathered | gatheral | gathering | gatherer | gatherable,verzamelen | verzamelt | verzamelen | gesinterd | verzameld | verzamelen | verzamelen | verzamelaar | verzamelbaar
Doing,Material,Material,Dispositive,give,gively | giveing | givees | giveness | giveli | gived | givee,zacht | geven | givees | geefheid | giveli | gegeven | geven
Doing,Material,Material,Dispositive,given,givensized,gegeven grootte
Doing,Material,Material,Dispositive,got,gotting | gotted | gottings | gots,getting | ontvangen | getting | get
Doing,Material,Material,Dispositive,gotten,gotten,gekregen
Doing,Material,Material,Dispositive,got sack from,N/A,N/A
Doing,Material,Material,Dispositive,got pick,N/A,N/A
Doing,Material,Material,Dispositive,get paid,N/A,N/A
Doing,Material,Material,Dispositive,hand,handeli | handness | handeful | handes | hande | handely | handing | handed | handings | handful,handeli | handigheid | handzaam | handes | hande | handely | overhandiging | met hand | Handingen | handvol
Doing,Material,Material,Dispositive,held,heldes | helding | helds | helded | helde | heldings,paldes | gehouden | aangehouden | aangehouden | helde | holdings
Doing,Material,Material,Dispositive,hid,hidding | hids | hidded,Verbergen | Verborgen | verborgen
Doing,Material,Material,Dispositive,hide,hideful | hideed | hidee | hideing | hided,Verstopt | verborgen | verbergen | verbergen | verborgen
Doing,Material,Material,Dispositive,hire,hirees | hireing | hired | hiree,huur | huur | gehuurd | huur
Doing,Material,Material,Dispositive,import,importants | importence | importable | importance | importent | importables | importer | importal | imported | importancies | importe | importate | importantness | importes | important | importanci | importment | importion | importancy | importing | importation | importability,Belangrijks | belang | invoerbaar | belang | importent | importables | importeur | importal | geïmporteerd | importancies | importeren | importeren | belangrijkheid | importes | belangrijk | importanci | invoer | invoer | belang | importeren | invoer | importeerbaarheid
Doing,Material,Material,Dispositive,includ,including | includs | includer | includers | includeing | includings | includibility | include | included | includible | includability | includes | includent | includding | includable | includeds | includant | includded,inclusief | Avocado's | includer | insluiters | omvattend | met inbegrip van | Onverenigbaarheid | omvatten | inbegrepen | Onuitwisbaar | Onbruikbaarheid | omvat | includent | Drinkwater | Uitwisselbaar | opgenomen | Onverzadigde stof | met een gewicht van meer dan 150 g/m2
Doing,Material,Material,Dispositive,inhabit,inhabitions | inhabitativeness | inhabitence | inhabiter | inhabitting | inhabitances | inhabitance | inhabitate | inhabitable | inhabitability | inhabiters | inhabiting | inhabitant | inhabitableness | inhabitating | inhabitational | inhabite | inhabition | inhabitator | inhabitiveness | inhabitted | inhabitation | inhabited | inhabitive | inhabitancy | inhabitative | inhabitent | inhabits | inhabitables | inhabites | inhabiteing | inhabitated | inhabitates | inhabitents,bewoningen | bewoonbaarheid | bewoonbaarheid | bewoner | inwonend | bewoningen | bewoning | bewonen | bewoonbaar | bewoonbaarheid | bewoners | inwonen | inwoner | bewoonbaarheid | bewonend | bewoning | bewonen | bewoning | bewoner | bewoonbaarheid | bewoond | bewoning | bewoond | bewoonbaar | bewoning | bewonend | bewoner | bewoners | bewoonbare dieren | bewoners | bewonen | bewoond | bewoners | inwoners
Doing,Material,Material,Dispositive,invit,invitements | invitted | invitator | inviter | invitationals | invitement | inviting | invitation | invitational | inviteing | invitability | invitments | invitated | invitant | invited | invitably | invitable | invitent | invite | inviters | invitative | invits | invitate | invitationally | invitings | invition,uitnodigingen | uitgenodigd | invitator | uitnodiger | uitnodigingen | uitnodiging | uitnodigend | uitnodiging | uitnodiging | uitnodiging | invitabiliteit | uitnodigingen | invitated | invitant | uitgenodigd | Onvermijdelijk | uitnodigbaar | uitnodigende | uitnodigen | uitnodigingers | invitatief | uitnodigingen | uitnodigen | op uitnodiging | uitnodigingen | invitatie
Doing,Material,Material,Dispositive,involv,involved | involvering | involvable | involvers | involve | involvent | involvement | involvings | involvments | involvant | involvs | involvment | involves | involveent | involving | involver | involveing | involvency,Betrokken | Betrokkenheid | niet-overdraagbaar | betrokkenen | betrekken | Betrokkenheid | betrokkenheid | waarbij: | involvmenten | involvant | involvs | involvment | houdt in | Betrokkenheid | waarbij | Insluiter | waarbij | betrokkenheid
Doing,Material,Material,Dispositive,involv in,N/A,N/A
Doing,Material,Material,Dispositive,join,joinning | joining | joines | joined | joine | joinned | joineing,joining | verbinden | sluit zich aan | verbonden | joine | verbonden | bijvoegen
Doing,Material,Material,Dispositive,keep,keepes | keepeing | keeping | keepe | keepping | keeped,bewaarplaatsen | bijblijven | houden | keep | bijblijven | bewaard
Doing,Material,Material,Dispositive,kept,kepted | kepts | kepte,bewaard | gehouden | bewaard
Doing,Material,Material,Dispositive,left,lefted | leftness | lefting | lefte,links | linksheid | verlaten | links
Doing,Material,Material,Dispositive,marri,marrie | marries | marriing | married,Marrie | trouwt | Huwelijk | gehuwd
Doing,Material,Material,Dispositive,get married and have,N/A,N/A
Doing,Material,Material,Dispositive,met,mettings | mets | metting | metted,metting | mets | metting | meted
Doing,Material,Material,Dispositive,meet,meete | meeted | meeteing | meetes | meeting | meeteings | meetely | meettings | meetting | meetness,meete | ontmoet | vergadering | meets | Vergadering | Vergaderingen | meetely | meetings | Bijeenkomsten | ontmoeting
Doing,Material,Material,Dispositive,meet with,N/A,N/A
Doing,Material,Material,Dispositive,obtain,obtainers | obtaines | obtainement | obtainance | obtaine | obtainable | obtaineing | obtainability | obtainning | obtainment | obtained | obtainings | obtainned | obtains | obtainer | obtaining,verkrijgers | verkregen | te verkrijgen | te verkrijgen | verkrijg | Bereikbaar | verkrijgen | verkrijgbaarheid | verkrijgen | bekomen | verkregen | verkregen | verkregen | verkregen | bever | Verkrijgen
Doing,Material,Material,Dispositive,own,ownings | ownness | owne | owneing | owning | owns | owned | ownes,bezit | eigenheid | eigen | eigen bedrijf | in eigendom | eigenaar | eigendom | eigenaar
Doing,Material,Material,Dispositive,outlast,outlasted | outlasts | outlasting,overleeft | outlast | uithoudingsvermogen
Doing,Material,Material,Dispositive,particip,participating | participable | participation | participanting | participatively | participator | participatives | particips | participancy | participals | participed | participated | participative | participates | participators | participational | participant | participents | participing | participou | participes | participent | participal | participance | participer | participability | participativeness | participate | participe,Deelname | Deelname | deelname | deelnemers | Participatie | Participatie | Deelnemingen | deelwoorden | Deelname | Deelname | participed | Deelname | Deelnemend | neemt deel aan | Deelnemers | deelname | deelnemer | participenten | participing | participou | participes | participent | Deelname | Deelname | participer | Deelnamebaarheid | Participatie | deelnemen | participe
Doing,Material,Material,Dispositive,pass,passsing | passsed,passeren | geslaagd
Doing,Material,Material,Dispositive,put,putse,putse
Doing,Material,Material,Dispositive,requir,requireds | requirents | requirement | requirred | requirings | requirable | requireents | requirments | requireing | requirant | requirent | requiring | requirs | requireent | requires | requirers | requirer | requirment | require | requiritis | required,Vereisten | vereisten | eis | required | Vereisten | requireable | vereisten | requirants | eisen | requirant | neednt | vereist | requirs | eisend | vereist | vereisten | requirer | requirment | vereist | requiritis | vereist
Doing,Material,Material,Dispositive,required for,N/A,N/A
Doing,Material,Material,Dispositive,reconnect,reconnective | reconnects | reconnection | reconnectable | reconnecting | reconnected | reconnections,opnieuw aansluitend | opnieuw verbinden | herverbinding | opnieuw aan te sluiten | opnieuw verbinden | opnieuw verbonden | reconnecties
Doing,Material,Material,Dispositive,rust out,N/A,N/A
Doing,Material,Material,Dispositive,got sanction,N/A,N/A
Doing,Material,Material,Dispositive,scatter like,N/A,N/A
Doing,Material,Material,Dispositive,spend,spending | spendes | spended | spende | spends,uitgaven | uitgegeven | uitgegeven | uitgeven | Uitgaven
Doing,Material,Material,Dispositive,store,stored | storee | storeing | storeful,opgeslagen | opslag | opslag | bewaard gebleven
Doing,Material,Material,Dispositive,swept,swepte,vege
Doing,Material,Material,Dispositive,have been swept,N/A,N/A
Doing,Material,Material,Dispositive,trap in,N/A,N/A
Doing,Material,Material,Dispositive,wear,wearing | wearness | weares | weared | weareing | weare,draagbaar | vermoeidheid | draagt | draagbaar | wearing | weare
Doing,Material,Material,Dispositive,wore,woreing | woree | woring | wored | wores,droegen | droeg | woring | worred | zweres
Doing,Material,Material,Dispositive,windswept,windswept,windswept
Doing,Material,Material,Dispositive,battl,battlings | battleful | battls | battle | battleing | battling | battled,gevechten | strijdlustig | battlesunit description in lists | strijd | strijden | vechten | strijdend
Doing,Material,Material,Creative,abandon,abandonou | abandonement | abandones | abandonent | abandoned | abandonment | abandone | abandoning | abandoners | abandonism | abandonned | abandonning | abandonable | abandonings | abandoner,verlaten | ontslag | verlaten | verlatent | verlaten | stopzetting | verlaten | verlaten | verraders | pusitionisme | verlaten | verlaten | aflaatbaar | verlaten | aflaatapparaat
Doing,Material,Material,Creative,abus,abuseing | abusefully | abusings | abusing | abusives | abusable | abused | abusion | abusive | abusent | abusions | abusiveness | abusement | abuse | abuseful | abuser | abusant | abusively,misbruik | misbruik | misbruik | misbruik | misbruik | misbruikbaar | misbruikt | Abusie | misbruik | misbruik | Abusies | misbruik | misbruik | misbruik | misbruik | misbruiker | abusant | misbruik
Doing,Material,Material,Creative,acceler,accelerable | accelerant | accelereated | accelerator | accelerent | accelerance | accelerational | accelere | accelerating | accelerants | accelerate | acceleres | accelerer | accelerates | acceleration | accelerated,accelereerbaar | versneller | geaccelereeerd | sneltoets | accelerent | acceleratie | acceleratie | accelere | versnellen | versnellers | versnellen | acceleres | accelerator | versnelt | versnelling | versneld
Doing,Material,Material,Creative,accomplish,accomplishents | accomplishings | accomplishement | accomplisher | accomplishent | accomplishers | accomplished | accomplishing | accomplishable | accomplishements | accomplishes | accomplishment | accomplishe,voltooit | resultaten | uitvoering | uitvoerder | volbrengend | voltooiers | voltooid | volbrengen | haalbaar | resultaten | bereikt | uitvoering | volbrengen
Doing,Material,Material,Creative,is accomplish with,N/A,N/A
Doing,Material,Material,Creative,accumul,accumulant | accumulating | accumulate | accumulation | accumulational | accumulatively | accumule | accumuler | accumules | accumulent | accumulates | accumulator | accumulated | accumulativeness | accumulative | accumulable,accumulerend | zich ophopen | accumuleren | accumulatie | accumulatie | accumulerend | accumule | accumuler | accumules | accumulent | accumuleert | accumulator | gecumuleerde | accumulativiteit | accumulerend | accumuleerbaar
Doing,Material,Material,Creative,accumulate,accumulated | accumulates,gecumuleerde | accumuleert
Doing,Material,Material,Creative,have accumulated,N/A,N/A
Doing,Material,Material,Creative,act,actness | acting | actting | acteing | actes | acte | actful | acted | actted,handeling | acteren | acteren | acteren | actes | acte | daadkrachtig | handelen | Acted
Doing,Material,Material,Creative,adjust,adjustant | adjustements | adjustiveness | adjustabilities | adjustment | adjusts | adjustively | adjustableness | adjuster | adjustability | adjustings | adjustible | adjustement | adjustably | adjustable | adjustables | adjuste | adjustent | adjustion | adjustibility | adjusted | adjustive | adjusting,aanpasmiddel | Aanpassingen | aanpassingsvermogen | Aanpasbaarheid | aanpassing | past | aanpassing | instelbaarheid | aanpasknop | aanpasbaarheid | aanpassingen | aanpasbaar | aanpassing | aanpasbaar | verstelbaar | verstelbaar | aanpassen | aanpassing | aanpassing | instelbaarheid | aangepast | aanpasbaar | aanpassing
Doing,Material,Material,Creative,afflict,afflicted | afflictive | afflictively | afflicter | afflicte | afflicters | afflictives | afflictings | afflicts | afflicting | afflictiveness | affliction,getroffen | moeilijk | vaak | demper | aandoening | depressieve patiënten | pijnstillers | aandoeningen | aandoeningen | idd | aandoening | aandoening
Doing,Material,Material,Creative,affect,affecters | affectic | affectely | affectent | affecteds | affectionally | affectible | affectate | affectively | affectability | affectted | affectional | affectational | affected | affectes | affectivities | affectioned | affectives | affectivity | affectiveness | affecte | affectful | affectibility | affectant | affectioning | affectting | affective | affectings | affectator | affectation | affecter | affectance | affectable | affecting | affection,affectoren | affectisch | affectieve | affectent | beïnvloed | affectie | affectibel | affectaat | affectieve | affectiviteit | beïnvloed | affectioneel | affectatie | getroffen | bijwerkingen | affectieve effecten | geliefd | affectieven | affectiviteit | affectieve | effect | affectief | invloedrijkheid | affectant | affectie | affecting | affectieve | effecten | affector | affectatie | behandeling met | affectie | beinvloedbaar | van invloed | affectie
Doing,Material,Material,Creative,affect by,N/A,N/A
Doing,Material,Material,Creative,aid,aideing | aided | aidded | aide | aiding | aidful | aidings,Aideing | steun | hulp | aide | hulpverlening | hulpvaardig | hulpverlening
Doing,Material,Material,Creative,alter,alterive | alterants | alterance | alterational | alterent | alterable | alters | alteratively | altered | alteration | altere | altereity | altering | alteres | alterableness | alterers | altereation | altereds | alterate | alterating | alterer | alterization | alterness | alterated | alteric | alterates | alterables | alterant | alterately | alteral | alterability | alterative | alterities | alterred | alterity | alterably | alterou | alteratives,altertief | alterantia | verandering | verandering | alterent | veranderlijk | verandert | alternatief | gewijzigd | wijziging | wijzigen | verandering | wijzigen | alternes | veranderlijkheid | alternatoren | verandering | gewijzigd | alteraat | veranderend | alter | verandering | verandering | gewijzigd | altergisch | alternaten | wisselbare stoffen | alterant | Alternatief | alteral | veranderlijkheid | alternatief | veranderingen | veranderd | verandering | Veranderlijk | alterou | alternatief
Doing,Material,Material,Creative,advanc,advancive | advance | advancement | advancings | advanced | advancs | advancment | advancer | advancing | advancments | advanceing | advanceable | advanci,advancief | vooruit | vooruitgang | Voortgangen | gevorderd | advancs | advancment | voorschot | vooruitgaan | advancmenten | Voortzetting | vervroegbaar | advanci
Doing,Material,Material,Creative,advertis,advertiser | advertised | advertisability | advertisment | advertisable | advertiseing | advertises | advertise | advertisments | advertisement | advertising,adverteerder | advertentie | advertiseerbaarheid | advertentie | advertiseerbaar | adverteren | adverteerders | adverteren | advertenties | reclame | reclame
Doing,Material,Material,Creative,approach,approacher | approachers | approache | approaching | approached | approachably | approachement | approachables | approachability | approachableness | approachful | approachable | approachment | approachments,naderer | naderingen | nadering | nadert | benaderd | toegankelijk | nadering | bereikbaarheid | bereikbaarheid | bereikbaarheid | benaderend | toegankelijk | nadering | naderingen
